集会名,日付,日時,登壇者,テーマ,タスク
ITインフラ集会,12/6,22:00,,,要確認
ITインフラ集会,12/6,22:30,,,要確認
VRC微分音集会,12/7,21:40,MisohitoNakai,微分音って何？なぜ微分音が重要？,
VRC-AI集会,12/8,21:00,,,要確認
C# Tokyo VRもくもく会,12/9,21:05,suusanex（須藤）,.NET 10やAIコーディングやローカルLLM周りの話を何か（検討中）,
C# Tokyo VRもくもく会,12/9,21:15,mishizaki,C# で Dataverse API を使う、など（検討中）,
ML集会,12/10,21:30,GesonAnko,VRChatで自律AIに出会う。,
Web技術集会,12/10,22:00,,,要確認
UIUXデザイン集会,12/11,21:00,黒音キト,VRChat風UIスキン作ったけど、メンテナンスいっぱい大変！,
DS集会,12/11,22:00,クルツ,VR空間の人々はどう動く？を可視化するツール作った,
エンジニア集会,12/12,22:00,慕狼ゆに,めんどくさいフォーム ~ 動的フォームに向き合う ~,
VRChat物理学集会,12/13,22:00,,,要確認
バックエンド集会,12/13,22:00,,,要確認
ITキャリア相談,12/14,21:30,Kagu3,私はこうやってITエンジニアになりました,
VR酔い訓練集会,12/15,22:00,法月ロイ,知っておくと得をする!? VR酔いの事,
CS集会,12/16,22:00,夜鍋ヨナ,令和だからこそZ80を使おう,
CS集会,12/16,22:20,KusaReMKN,その気持ち、手紙で届けよう,
CS集会,12/16,22:40,Mizar(みざー),農家はReplace()されました。でスネークゲームを頑張ってみた,
ブラックホール集会,12/17,22:00,,,要確認
妖怪好き交流所,12/17,21:00,相塚松（あいつかまつ）,妖怪の研究方法,
個人開発集会,12/18,21:00,isoshigi,初めてWebサイトを作って得た知見（仮）,
分解技術集会,12/18,22:30,kiyone,修理に必要な道具,
VFN核融合,12/19,21:00,Hasegas,VR空間を活用した核融合コミュニケーションの試み,
分散システム集会,12/20,21:00,bootjp／ぶーと,Aurora Serverless からAurora Serverless v2への課題と知見を論文から読み解く,
セキュリティ集会,12/20,21:30,kumama_nui,"小さな Web サイトの守りかた入門
　〜個人開発者が今日からできること〜",
セキュリティ集会,12/20,22:00,nia_niaa,配布サイトからクライアントまで：サプライチェーン攻撃としての Unityパッケージ,
計算と自然集会,12/20,22:30,nconc,もう一つのライフゲーム,
VRC脳波技術集会,12/21,21:00,Spis,Vket会場でV睡して脳波計測してみた,
